filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
hydrababwithheuristic_3_[0-10],openb-pod-1976,2,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_3_[0-10],openb-pod-1968,0,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,108.0,188028.0,188028.0
hydrababwithheuristic_3_[0-10],openb-pod-3108,1,A100,2371.0,2371.0,460,2371.0,3879,6213,3899.0,108.0,256068.0,256068.0
hydrababwithheuristic_3_[0-10],openb-pod-3246,4,A100,5757.0,6879.0,590,5757.0,11097,14806,inf,225.50000000000003,1298203.5000000002,1551214.5000000002
hydrababwithheuristic_3_[0-10],openb-pod-1918,3,A100,6416.0,7593.0,650,6416.0,12800,16238,inf,192.50000000000003,1235080.0000000002,1461652.5000000002
hydrababwithheuristic_3_[0-10],openb-pod-2677,2,A100,6936.0,8350.0,230,6936.0,9945,17310,inf,38.5,267036.0,321475.0
hydrababwithheuristic_3_[0-10],openb-pod-3043,0,A100,11165.999999999998,12906.999999999998,810,11166.0,21668,29540,28770.0,161.50000000000003,1803309.0,2084480.5
hydrababwithheuristic_3_[0-10],openb-pod-2722,1,A100,20410.0,22781.0,320,20410.0,32091,54074,inf,34.0,693940.0,774554.0
hydrababwithheuristic_3_[0-20],openb-pod-1118,3,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,106.0,118932.0,118932.0
hydrababwithheuristic_3_[0-20],openb-pod-1478,1,A100,1177.0,1177.0,480,1177.0,1733,3023,inf,104.0,122408.0,122408.0
hydrababwithheuristic_3_[0-20],openb-pod-1976,2,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,192.50000000000003,272195.00000000006,272195.00000000006
hydrababwithheuristic_3_[0-20],openb-pod-1589,0,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,108.0,165024.0,165024.0
